Zeit	KanalA	KanalB
29.35999982	227.88170000	227.74440000
29.43999982	227.88170000	227.74440000
29.51999982	227.88170000	227.74440000
29.59999982	227.88170000	227.74440000
29.67999982	227.88170000	227.74440000
29.75999982	227.88170000	227.74440000
29.83999982	227.88170000	227.74440000
29.91999982	227.88170000	227.74440000
29.99999982	227.88170000	227.74440000
30.07999982	227.88170000	227.74440000
30.15999982	227.88170000	232.20010000
30.23999982	236.79310000	241.12670000
30.31999982	254.61590000	258.98000000
30.39999982	245.70450000	250.05340000
30.47999981	241.24880000	245.59770000
30.55999981	245.70450000	245.59770000
30.63999981	241.24880000	245.59770000
30.71999981	245.70450000	245.59770000
30.79999981	245.70450000	245.59770000
30.87999981	245.70450000	245.59770000
30.95999981	245.70450000	245.59770000
31.03999981	241.24880000	241.12670000
31.11999981	227.88170000	227.74440000
31.19999981	227.88170000	227.74440000
31.27999981	223.41070000	227.74440000
31.35999981	227.88170000	227.74440000
31.43999981	232.33740000	236.67100000
31.51999981	232.33740000	236.67100000
31.59999981	227.88170000	227.74440000
31.67999981	227.88170000	227.74440000
31.75999981	227.88170000	227.74440000
31.83999981	232.33740000	232.20010000
31.91999981	232.33740000	232.20010000
31.99999981	227.88170000	232.20010000
32.07999981	227.88170000	227.74440000
32.15999980	227.88170000	227.74440000
32.23999980	227.88170000	232.20010000
32.31999980	232.33740000	232.20010000
32.39999980	232.33740000	232.20010000
32.47999980	227.88170000	227.74440000
32.55999980	227.88170000	227.74440000
32.63999980	227.88170000	227.74440000
32.71999980	232.33740000	232.20010000
32.79999980	232.33740000	232.20010000
32.87999980	227.88170000	227.74440000
32.95999980	227.88170000	227.74440000
33.03999980	227.88170000	227.74440000
33.11999980	232.33740000	232.20010000
33.19999980	227.88170000	232.20010000
33.27999980	232.33740000	232.20010000
33.35999980	227.88170000	232.20010000
33.43999980	227.88170000	232.20010000
33.51999980	227.88170000	232.20010000
33.59999980	227.88170000	232.20010000
33.67999980	227.88170000	227.74440000
33.75999979	227.88170000	232.20010000
33.83999979	227.88170000	232.20010000
33.91999979	227.88170000	232.20010000
33.99999979	232.33740000	232.20010000
34.07999979	232.33740000	232.20010000
34.15999979	227.88170000	227.74440000
34.23999979	227.88170000	227.74440000
34.31999979	232.33740000	227.74440000
34.39999979	232.33740000	227.74440000
34.47999979	227.88170000	232.20010000
34.55999979	227.88170000	227.74440000
34.63999979	227.88170000	227.74440000
34.71999979	227.88170000	232.20010000
34.79999979	232.33740000	232.20010000
34.87999979	232.33740000	232.20010000
34.95999979	232.33740000	232.20010000
35.03999979	227.88170000	227.74440000
35.11999979	227.88170000	227.74440000
35.19999979	227.88170000	232.20010000
35.27999979	227.88170000	232.20010000
35.35999979	232.33740000	232.20010000
35.43999978	227.88170000	232.20010000
35.51999978	227.88170000	232.20010000
35.59999978	227.88170000	232.20010000
35.67999978	232.33740000	232.20010000
35.75999978	227.88170000	232.20010000
35.83999978	227.88170000	227.74440000
35.91999978	232.33740000	232.20010000
35.99999978	232.33740000	232.20010000
36.07999978	227.88170000	232.20010000
36.15999978	227.88170000	232.20010000
36.23999978	227.88170000	227.74440000
36.31999978	227.88170000	227.74440000
36.39999978	227.88170000	232.20010000
